url,name,streetaddress,country,number,cuisine,parking,specialties,services,email,website,about,attire,general_manager
https://www.facebook.com/sebastiansgyros/,Sebastian's Greek Restaurant ,5209 Glenway Ave,Cincinnati,+1 513-471-2100,,Parking Lot parking,Serves lunch and dinner,Take Out,,http://www.sebastiansgyros.com,,Casual,
https://www.facebook.com/AlfiosBuonCibo/,Alfio's buon cibo ,2724 Erie Ave,Cincinnati,+1 513-321-0555,,,Serves dinner and drinks,"Takes Reservations,  Walk-Ins Welcome,  Good For Groups,  Take Out,  Catering,  Waiter Service,  Outdoor Seating",info@alfios-cincy.com,http://www.alfios-cincy.com,Italian - Argentine Cuisine,Casual,
https://www.facebook.com/TortilleriaGarciaCincy/,Tortilleria Garcia ,11774 Springfield Pike,Cincinnati,+1 513-671-8678,,,Serves lunch,,,http://www.tortilleriagarcia.us,The first location in Cincinnati to provide both freshly ground corn tortillas and delicious Mexican dishes.,,
https://www.facebook.com/sottocincinnati/,Sotto ,118 E 6th St,Cincinnati,+1 513-977-6886,italian,Street and valet parking,"Serves lunch, dinner, coffee and drinks","Good For Groups,  Takes Reservations,  Waiter Service,  Walk-Ins Welcome",info@sottocincinnati.com,http://www.sottocincinnati.com,Pasta junkies with a hospitality habitat |  Dinner & weekday lunch,Casual,Will Velarde
https://www.facebook.com/orchidsatpalmcourt/,Orchids at Palm Court ,35 West Fifth Street/Hilton Cincinnati Netherland Plaza,Cincinnati,+1 513-421-9100,american (new),"Street, parking lot and valet parking",Serves dinner,"Takes Reservations,  Walk-Ins Welcome,  Good For Groups,  Waiter Service",,http://www.orchidsatpalmcourt.com,New American cuisine seasonally updated in a historic French art deco setting,,
https://www.facebook.com/DeweysPizza/,Dewey's Pizza ,,,+1 513-362-1234,pizza,Parking Lot parking,"Serves lunch, dinner and drinks","Walk-Ins Welcome,  Good For Groups,  Good For Kids,  Take Out,  Waiter Service",,http://www.deweyspizza.com,"Dishing up pizza, salads, and local craft beers in your neighborhood since 1998.",Casual,
https://www.facebook.com/BoiNaBrazaCincinnati/,Boi Na Braza Cincinnati ,"441 Vine Street, Carew Tower Suite 1A",Cincinnati,+1 513-421-7111,brazilian and steakhouses,Street and valet parking,Serves dinner and drinks,"Good For Groups,  Good For Kids,  Takes Reservations,  Waiter Service,  Walk-Ins Welcome",boinabraza.cincinnati@boinabraza.com,http://www.boinabraza.com,,,
https://www.facebook.com/JeffRubysCarloAndJohnny/,Jeff Ruby's Carlo & Johnny ,9769 Montgomery Rd,Cincinnati,+1 513-936-8600,seafood and steakhouses,Parking Lot and valet parking,Serves dinner and drinks,"Takes Reservations,  Walk-Ins Welcome,  Good For Groups,  Take Out,  Catering,  Waiter Service,  Outdoor Seating",info@jeffruby.com,http://www.JeffRuby.com,Carlo & Johnny is consistently rated by Zagat higher than any steakhouse in Chicago and New York City. Now open for dinner 7 days a week!,Dressy,Charlie Bledsoe
https://www.facebook.com/pelicansreefcincinnati/,Pelican's Reef Cincinnati ,7261 Beechmont Ave,Cincinnati,+1 513-232-2526,,Parking Lot parking,"Serves lunch, dinner and drinks","Good For Kids,  Take Out,  Waiter Service",pelicansreef2@zoomtown.com,http://www.thepelicansreef.com,"Pelican’s Reef brings you the best seafood in a friendly, laid-back environment. If our seafood were any fresher, we’d be servin’ it off the dock!",Casual,Owners:  John & Patti  Broshar
https://www.facebook.com/SalazarCincinnati/,Salazar ,1401 Republic St,Cincinnati,+1 513-621-7000,american (new),Street parking,"Serves breakfast, lunch, dinner and drinks","Outdoor Seating,  Takes Reservations,  Waiter Service,  Walk-Ins Welcome",,http://www.salazarcincinnati.com,Farm-inspired New American restaurant in the Over-the-Rhine neighborhood of Cincinnati.,,
